tool	simu	space	lost_abundance	lost_clades	richness	shannon
simulation	refMet4	gtdb207	0.0	0.0	214.0	5.557399659515508
simulation	refMet4	uhgg	0.0	0.0	215.0	5.557399659515506
simulation	refKrak	gtdb207	0.0	0.0	489.0	6.640354866458857
simulation	refKrak	uhgg	0.0	0.0	512.0	6.684846140944401
motus3	refMet4	gtdb207	0.0	0.0	191.0	5.549686593831786
motus3	refMet4	uhgg	0.0	0.0	190.0	5.551321080207804
motus3	refKrak	gtdb207	0.0004451014967987	1.0	420.0	6.491722580950135
motus3	refKrak	uhgg	1.1102230246251563e-16	0.0	428.0	6.497155341444668
metaphlan4	refMet4	gtdb207	0.0	0.0	180.0	5.465573960352143
metaphlan4	refMet4	uhgg	0.0	0.0	180.0	5.465826277580383
metaphlan4	refKrak	gtdb207	0.0	0.0	398.0	6.208786233360463
metaphlan4	refKrak	uhgg	0.0	0.0	403.0	6.219082818330548
metaphlan3	refMet4	gtdb207	0.0	0.0	91.0	4.569542301655569
metaphlan3	refMet4	uhgg	0.0	0.0	110.0	4.993084177382808
metaphlan3	refKrak	gtdb207	0.0	0.0	159.0	5.026594949503542
metaphlan3	refKrak	uhgg	0.0	0.0	183.0	5.387789024183312
kraken2 + bracken	refMet4	gtdb207	0.0	0.0	521.0	6.401721411566791
kraken2 + bracken	refMet4	uhgg	0.0304186430191794	72.0	419.0	6.186890281186945
kraken2 + bracken	refKrak	gtdb207	0.0	0.0	692.0	7.067423620507957
kraken2 + bracken	refKrak	uhgg	0.0377338984803061	92.0	574.0	6.847741817163912
