tool	simu	space	richness_diff	shannon_diff	braycurtis	unifrac	TPR	PPV	FPRA	FNRA
kraken2 + bracken	refMet4	gtdb207	299.0	0.8331300983281524	0.2170894900529433	0.0862722815851996	0.8965517241070154	0.3659003831347528	0.143622501545411	0.0018087909798212
kraken2 + bracken	refMet4	uhgg	200.0	0.6128732975521096	0.1957184487086345	0.0696465137686865	0.8641975308108519	0.4424951266970274	0.1074608645698605	0.0060184033521626
kraken2 + bracken	refKrak	gtdb207	179.0	0.4413921016611537	0.1971857655212539	0.0911956721009627	0.9516806722489144	0.6965517241259215	0.0697865353037686	0.007569924300754
kraken2 + bracken	refKrak	uhgg	34.0	0.15014980155835644	0.1925055752066155	0.0709839101648506	0.8515497552879029	0.7955010224786196	0.0166404199475043	0.030397568194541
metaphlan3	refMet4	gtdb207	-118.0	-0.9836937448366294	0.4361443201449593	0.1693769149763233	0.3962264150756497	0.9172413792470868	0.0356580071316012	0.3489472940898556
metaphlan3	refMet4	uhgg	-101.0	-0.594244991743405	0.4438471391539109	0.1397169202321168	0.4251012145576882	0.8207547169037024	0.159566058333333	0.3113165514601009
metaphlan3	refKrak	gtdb207	-331.0	-1.5696516676749424	0.4907443360912117	0.1667685278149013	0.3021276595680398	0.9455445544086364	0.0281279028127902	0.3887000000000003
metaphlan3	refKrak	uhgg	-331.0	-1.2704029111332797	0.4567907020246608	0.1327744531933415	0.3290598290527978	0.9367088607002082	0.0066669183333325	0.3475769515390284
motus3	refMet4	gtdb207	-23.0	-0.006970917658305709	0.1476372345953581	0.035348425338054	0.7852564102312417	0.8867924527744155	0.0709980805447708	0.0678057661601289
motus3	refMet4	uhgg	-24.0	-0.00791847810884283	0.1400432421410094	0.0332106033423493	0.8055555555108024	0.9090909090392562	0.0586987765923153	0.0528688382544423
motus3	refKrak	gtdb207	-64.0	-0.1239290972823266	0.2176695414963248	0.0375100879922652	0.7929824561125269	0.917938931280192	0.0792858267927208	0.1525254242372655
motus3	refKrak	uhgg	-80.0	-0.1661345394911642	0.2022985625249316	0.0330729232299898	0.811538461522855	0.9649681528355104	0.0156533814624059	0.1394627892557844
metaphlan4	refMet4	gtdb207	-31.0	-0.08420649528497037	0.0556404881238193	0.0140682748226761	0.8053892215327727	0.944444444356996	0.0296243148121567	0.0340796710793369
metaphlan4	refMet4	uhgg	-32.0	-0.08580893740347229	0.0256074399268863	0.0094574959542609	0.848484848399143	0.9999999999342104	0.0	0.0013180265133306
metaphlan4	refKrak	gtdb207	-80.0	-0.4120754038203911	0.1285650221800812	0.0280851655167629	0.7923387096614448	0.953038674006822	0.0335210832394579	0.0958534194787214
metaphlan4	refKrak	uhgg	-103.0	-0.4651714317037605	0.1028610380195866	0.0210310139077772	0.7968127489722385	0.993166286993322	0.0019886978124323	0.0736877893663154
