tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	271.0	299.0	326.5	55.5
kraken2 + bracken	refMet4	uhgg	178.0	200.0	220.0	42.0
kraken2 + bracken	refKrak	gtdb207	139.0	179.0	227.0	88.0
kraken2 + bracken	refKrak	uhgg	-2.5	34.0	89.0	91.5
metaphlan3	refMet4	gtdb207	-157.5	-118.0	-83.0	74.5
metaphlan3	refMet4	uhgg	-139.0	-101.0	-66.0	73.0
metaphlan3	refKrak	gtdb207	-406.5	-331.0	-265.5	141.0
metaphlan3	refKrak	uhgg	-413.5	-331.0	-257.5	156.0
motus3	refMet4	gtdb207	-31.0	-23.0	-15.0	16.0
motus3	refMet4	uhgg	-32.0	-24.0	-15.0	17.0
motus3	refKrak	gtdb207	-85.0	-64.0	-44.0	41.0
motus3	refKrak	uhgg	-104.0	-80.0	-57.0	47.0
metaphlan4	refMet4	gtdb207	-39.0	-31.0	-23.0	16.0
metaphlan4	refMet4	uhgg	-40.0	-32.0	-23.0	17.0
metaphlan4	refKrak	gtdb207	-105.5	-80.0	-61.0	44.5
metaphlan4	refKrak	uhgg	-129.0	-103.0	-76.0	53.0
